slug,name
nunoa,Ñuñoa
providencia,Providencia
las-condes,Las Condes
la-reina,La Reina
santiago-centro,Santiago Centro
macul,Macul
penalolen,Peñalolén
la-florida,La Florida
lo-barnechea,Lo Barnechea
vitacura,Vitacura
huechuraba,Huechuraba
independencia,Independencia
recoleta,Recoleta
quilicura,Quilicura
cerro-navia,Cerro Navia
renca,Renca
quinta-normal,Quinta Normal
lo-prado,Lo Prado
estacion-central,Estación Central
san-miguel,San Miguel
san-joaquin,San Joaquín
pedro-aguirre-cerda,Pedro Aguirre Cerda
san-ramon,San Ramón
lo-espejo,Lo Espejo
cerrillos,Cerrillos
la-granja,La Granja
la-cisterna,La Cisterna
la-pintana,La Pintana
